Time,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:error,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:ok,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:timeout,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:system error
Tue Apr 27 2021 17:56:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.016666666666666666,undefined
Tue Apr 27 2021 20:12:00 GMT-0500 (Central Daylight Time),0.7,5.133333333333334,0.08333333333333333,undefined
Tue Apr 27 2021 20:13:00 GMT-0500 (Central Daylight Time),1.05,8.583333333333334,0.08333333333333333,undefined
Tue Apr 27 2021 20:14:00 GMT-0500 (Central Daylight Time),3.95,28.816666666666666,undefined,undefined
Tue Apr 27 2021 20:15:00 GMT-0500 (Central Daylight Time),3.783333333333333,29,undefined,undefined
Tue Apr 27 2021 20:16:00 GMT-0500 (Central Daylight Time),1.1166666666666667,10.633333333333333,0.016666666666666666,undefined
Tue Apr 27 2021 20:17:00 GMT-0500 (Central Daylight Time),0.4666666666666667,5.066666666666666,0.1,undefined
Tue Apr 27 2021 20:18:00 GMT-0500 (Central Daylight Time),1.1833333333333333,11.416666666666666,0.08333333333333333,undefined
Tue Apr 27 2021 20:19:00 GMT-0500 (Central Daylight Time),4.366666666666666,25.15,0.016666666666666666,undefined
Tue Apr 27 2021 20:20:00 GMT-0500 (Central Daylight Time),2.1,31.266666666666666,0.016666666666666666,undefined
Tue Apr 27 2021 20:21:00 GMT-0500 (Central Daylight Time),4.116666666666666,29.383333333333333,undefined,undefined
Tue Apr 27 2021 20:22:00 GMT-0500 (Central Daylight Time),4.3,26.6,0.016666666666666666,undefined
Tue Apr 27 2021 20:23:00 GMT-0500 (Central Daylight Time),3.8,30.883333333333333,0.016666666666666666,undefined
Tue Apr 27 2021 20:24:00 GMT-0500 (Central Daylight Time),4.35,31.033333333333335,undefined,undefined
Tue Apr 27 2021 20:25:00 GMT-0500 (Central Daylight Time),5.033333333333333,31.483333333333334,undefined,undefined
Tue Apr 27 2021 20:26:00 GMT-0500 (Central Daylight Time),3.3833333333333333,31.366666666666667,undefined,undefined
Tue Apr 27 2021 20:27:00 GMT-0500 (Central Daylight Time),4.85,27.666666666666668,undefined,undefined
Tue Apr 27 2021 20:28:00 GMT-0500 (Central Daylight Time),4.566666666666666,25.033333333333335,undefined,undefined
Tue Apr 27 2021 20:29:00 GMT-0500 (Central Daylight Time),3.6666666666666665,28.033333333333335,undefined,undefined
Tue Apr 27 2021 20:30:00 GMT-0500 (Central Daylight Time),4.316666666666666,26.783333333333335,undefined,undefined
Tue Apr 27 2021 20:31:00 GMT-0500 (Central Daylight Time),2.4,29.55,undefined,undefined
Tue Apr 27 2021 20:32:00 GMT-0500 (Central Daylight Time),4.166666666666667,28.416666666666668,undefined,undefined
Tue Apr 27 2021 20:33:00 GMT-0500 (Central Daylight Time),1.6666666666666667,29.183333333333334,undefined,undefined
Tue Apr 27 2021 20:34:00 GMT-0500 (Central Daylight Time),3.566666666666667,29.3,undefined,undefined
Tue Apr 27 2021 20:35:00 GMT-0500 (Central Daylight Time),3.0166666666666666,29.4,undefined,undefined
Tue Apr 27 2021 20:36:00 GMT-0500 (Central Daylight Time),1.5833333333333333,14.616666666666667,undefined,undefined
Tue Apr 27 2021 20:37:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.08333333333333333,undefined
Tue Apr 27 2021 20:38:00 GMT-0500 (Central Daylight Time),0.43333333333333335,6.5,0.08333333333333333,undefined
Tue Apr 27 2021 20:39:00 GMT-0500 (Central Daylight Time),2.683333333333333,24.266666666666666,undefined,undefined
Tue Apr 27 2021 20:40:00 GMT-0500 (Central Daylight Time),3.05,25.9,undefined,undefined
Tue Apr 27 2021 20:41:00 GMT-0500 (Central Daylight Time),1.8333333333333333,18.5,undefined,undefined
Tue Apr 27 2021 20:42:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.08333333333333333,undefined
Tue Apr 27 2021 20:43:00 GMT-0500 (Central Daylight Time),0.5166666666666667,4.266666666666667,0.08333333333333333,undefined
Tue Apr 27 2021 20:44:00 GMT-0500 (Central Daylight Time),3.316666666666667,26.95,undefined,undefined
Tue Apr 27 2021 20:45:00 GMT-0500 (Central Daylight Time),3.9833333333333334,25.966666666666665,undefined,undefined
Tue Apr 27 2021 20:46:00 GMT-0500 (Central Daylight Time),3.6666666666666665,25.783333333333335,undefined,undefined
Tue Apr 27 2021 20:47:00 GMT-0500 (Central Daylight Time),1.2666666666666666,8.95,undefined,undefined
Tue Apr 27 2021 20:48:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.08333333333333333,undefined
Tue Apr 27 2021 20:50:00 GMT-0500 (Central Daylight Time),0.6333333333333333,13.4,undefined,undefined
Tue Apr 27 2021 20:51:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.08333333333333333,undefined
Tue Apr 27 2021 20:52:00 GMT-0500 (Central Daylight Time),0.5333333333333333,8.466666666666667,0.08333333333333333,undefined
Tue Apr 27 2021 20:53:00 GMT-0500 (Central Daylight Time),0.4666666666666667,10.033333333333333,undefined,undefined
Tue Apr 27 2021 20:54:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.08333333333333333,undefined
Tue Apr 27 2021 20:55:00 GMT-0500 (Central Daylight Time),1.3166666666666667,10.683333333333334,0.08333333333333333,undefined
Tue Apr 27 2021 20:56:00 GMT-0500 (Central Daylight Time),2.033333333333333,22.25,undefined,undefined
Tue Apr 27 2021 20:57:00 GMT-0500 (Central Daylight Time),0.48333333333333334,2.9,0.016666666666666666,undefined
Tue Apr 27 2021 20:58:00 GMT-0500 (Central Daylight Time),undefined,0.03333333333333333,0.08333333333333333,undefined
Tue Apr 27 2021 20:59:00 GMT-0500 (Central Daylight Time),0.9333333333333333,20.8,0.06666666666666667,undefined
Tue Apr 27 2021 21:00:00 GMT-0500 (Central Daylight Time),3.4166666666666665,26.466666666666665,undefined,undefined
Tue Apr 27 2021 21:01:00 GMT-0500 (Central Daylight Time),3.783333333333333,25.266666666666666,undefined,undefined
Tue Apr 27 2021 21:02:00 GMT-0500 (Central Daylight Time),2.6166666666666667,18.85,undefined,undefined
Tue Apr 27 2021 21:03:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.08333333333333333,undefined
Tue Apr 27 2021 21:04:00 GMT-0500 (Central Daylight Time),0.75,8.25,0.08333333333333333,undefined
Tue Apr 27 2021 21:05:00 GMT-0500 (Central Daylight Time),2.65,20.9,undefined,undefined
Tue Apr 27 2021 21:06:00 GMT-0500 (Central Daylight Time),0.1,4.85,0.016666666666666666,undefined
Tue Apr 27 2021 21:07:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.06666666666666667,undefined
Tue Apr 27 2021 21:08:00 GMT-0500 (Central Daylight Time),2.466666666666667,18.95,0.08333333333333333,undefined
Tue Apr 27 2021 21:09:00 GMT-0500 (Central Daylight Time),2.3666666666666667,18.216666666666665,undefined,undefined
Tue Apr 27 2021 21:10:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.08333333333333333,undefined
Tue Apr 27 2021 21:11:00 GMT-0500 (Central Daylight Time),1.0166666666666666,6.783333333333333,0.08333333333333333,undefined
Tue Apr 27 2021 21:12:00 GMT-0500 (Central Daylight Time),2.716666666666667,22.45,undefined,undefined
Tue Apr 27 2021 21:13:00 GMT-0500 (Central Daylight Time),4.2,25.4,undefined,undefined
Tue Apr 27 2021 21:14:00 GMT-0500 (Central Daylight Time),3.7333333333333334,28.683333333333334,undefined,undefined
